"No.","Time","Source","Destination","Protocol","Length","Info"
"84","10.078703","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"85","10.079939","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"86","10.425064","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=74684 Win=5792 Len=0 TSval=46735081 TSecr=595547354"
"87","10.426437","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"88","10.426673","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=77580 Win=2896 Len=0 TSval=46735085 TSecr=595547355"
"89","10.427919","192.150.187.11","146.164.69.8","HTTP","1500","[TCP Window Full] Continuation or non-HTTP traffic[Packet size limited during capture]"
"90","10.679342","146.164.69.8","192.150.187.11","TCP","52","[TCP ZeroWindow] 33397 > http [ACK] Seq=748 Ack=80476 Win=0 Len=0 TSval=46735120 TSecr=595547390"
"91","15.676300","192.150.187.11","146.164.69.8","TCP","53","[TCP ZeroWindowProbe] [TCP segment of a reassembled PDU]"
"92","15.858843","146.164.69.8","192.150.187.11","TCP","52","[TCP ZeroWindowProbeAck] [TCP ZeroWindow] 33397 > http [ACK] Seq=748 Ack=80476 Win=0 Len=0 TSval=46735638 TSecr=595547916"
"93","20.618910","146.164.69.8","192.150.187.11","TCP","52","[TCP Window Update] 33397 > http [ACK] Seq=748 Ack=80476 Win=10136 Len=0 TSval=46736112 TSecr=595547916"
"94","20.620275","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"95","20.620336","146.164.69.8","192.150.187.11","TCP","52","[TCP Window Update] 33397 > http [ACK] Seq=748 Ack=80476 Win=20272 Len=0 TSval=46736114 TSecr=595547916"
"96","20.620404","146.164.69.8","192.150.187.11","TCP","52","[TCP Window Update] 33397 > http [ACK] Seq=748 Ack=80476 Win=46336 Len=0 TSval=46736114 TSecr=595547916"
"97","20.948890","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=81924 Win=55024 Len=0 TSval=46736135 TSecr=595548410"
"98","20.950251","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"99","20.951478","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"100","21.299953","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=83372 Win=57920 Len=0 TSval=46736169 TSecr=595548443"
"101","21.301334","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"102","21.302571","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"103","21.593925","146.164.69.8","192.150.187.11","TCP","52","[TCP Dup ACK 100#1] 33397 > http [ACK] Seq=748 Ack=83372 Win=57920 Len=0 TSval=46736201 TSecr=595548443"
"104","21.594540","146.164.69.8","192.150.187.11","TCP","52","[TCP Dup ACK 100#2] 33397 > http [ACK] Seq=748 Ack=83372 Win=57920 Len=0 TSval=46736201 TSecr=595548443"
"105","22.297527","192.150.187.11","146.164.69.8","HTTP","1500","[TCP Retransmission] Continuation or non-HTTP traffic[Packet size limited during capture]"
"106","22.583977","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=87716 Win=60816 Len=0 TSval=46736300 TSecr=595548578"
"107","22.585347","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"108","22.586568","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"109","23.162170","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=89164 Win=63712 Len=0 TSval=46736330 TSecr=595548606"
"110","23.163531","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"111","23.163685","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=90612 Win=63712 Len=0 TSval=46736330 TSecr=595548606"
"112","23.164923","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"113","23.166157","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"114","23.353087","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=92060 Win=63712 Len=0 TSval=46736387 TSecr=595548664"
"115","23.354440","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"116","23.431401","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=93508 Win=63712 Len=0 TSval=46736388 TSecr=595548664"
"117","23.431517","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=94956 Win=62264 Len=0 TSval=46736388 TSecr=595548664"
"118","23.432770","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"119","23.434000","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"120","23.435234","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"121","23.740072","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=96404 Win=63712 Len=0 TSval=46736407 TSecr=595548683"
"122","23.741431","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"123","23.742487","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=97852 Win=63712 Len=0 TSval=46736415 TSecr=595548691"
"124","23.742565","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=99300 Win=63712 Len=0 TSval=46736415 TSecr=595548691"
"125","23.742633","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=100748 Win=63712 Len=0 TSval=46736416 TSecr=595548691"
"126","23.743879","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"127","23.745113","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"128","23.746352","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"129","23.747592","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"130","23.930583","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=102196 Win=63712 Len=0 TSval=46736445 TSecr=595548722"
"131","23.931935","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"132","23.939428","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=103644 Win=63712 Len=0 TSval=46736446 TSecr=595548722"
"133","23.939503","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=105092 Win=63712 Len=0 TSval=46736446 TSecr=595548722"
"134","23.940770","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"135","23.942001","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"136","24.051664","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=106540 Win=63712 Len=0 TSval=46736447 TSecr=595548722"
"137","24.051729","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=107988 Win=63712 Len=0 TSval=46736448 TSecr=595548722"
"138","24.053043","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"139","24.054279","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"140","24.157874","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=109436 Win=63712 Len=0 TSval=46736464 TSecr=595548741"
"141","24.157989","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=110884 Win=63712 Len=0 TSval=46736465 TSecr=595548742"
"142","24.158062","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=112332 Win=63712 Len=0 TSval=46736466 TSecr=595548742"
"143","24.159307","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"144","24.160544","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"145","24.161780","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"146","24.163016","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"147","24.250070","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=113780 Win=63712 Len=0 TSval=46736476 TSecr=595548753"
"148","24.251429","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"149","24.291576","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=115228 Win=63712 Len=0 TSval=46736480 TSecr=595548753"
"150","24.292929","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"151","24.452575","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=118124 Win=63712 Len=0 TSval=46736487 TSecr=595548764"
"152","24.453928","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"153","24.454016","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=121020 Win=63712 Len=0 TSval=46736487 TSecr=595548764"
"154","24.455266","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"155","24.456498","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"156","24.457757","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"157","24.458991","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"158","24.473882","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=122468 Win=63712 Len=0 TSval=46736500 TSecr=595548773"
"159","24.475216","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"160","25.055195","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=126812 Win=63712 Len=0 TSval=46736519 TSecr=595548793"
"161","25.055256","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=129708 Win=63712 Len=0 TSval=46736519 TSecr=595548793"
"162","25.055329","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=132604 Win=63712 Len=0 TSval=46736522 TSecr=595548793"
"163","25.056589","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"164","25.057826","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"165","25.059061","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"166","25.060299","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"167","25.061544","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"168","25.062762","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"169","25.063995","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"170","25.284564","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=135500 Win=63712 Len=0 TSval=46736580 TSecr=595548853"
"171","25.285923","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"172","25.287157","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"173","25.343923","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=138396 Win=63712 Len=0 TSval=46736580 TSecr=595548853"
"174","25.345267","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"175","25.346524","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"176","25.346587","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=141292 Win=63712 Len=0 TSval=46736581 TSecr=595548853"
"177","25.346659","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=142740 Win=63712 Len=0 TSval=46736585 TSecr=595548853"
"178","25.347996","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"179","25.349237","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"180","25.350465","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"181","25.351695","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"182","25.525580","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=145636 Win=63712 Len=0 TSval=46736600 TSecr=595548876"
"183","25.526924","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"184","25.528161","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"185","25.609133","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=148532 Win=63712 Len=0 TSval=46736606 TSecr=595548882"
"186","25.610485","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"187","25.610569","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=151428 Win=63712 Len=0 TSval=46736607 TSecr=595548883"
"188","25.610817","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=154324 Win=63712 Len=0 TSval=46736607 TSecr=595548883"
"189","25.612260","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"190","25.613485","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"191","25.614717","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"192","25.615950","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"193","25.617186","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"194","25.716617","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=157220 Win=63712 Len=0 TSval=46736624 TSecr=595548900"
"195","25.717957","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"196","25.719192","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"197","25.940747","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=160116 Win=63712 Len=0 TSval=46736632 TSecr=595548909"
"198","25.940815","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=163012 Win=63712 Len=0 TSval=46736632 TSecr=595548909"
"199","25.940905","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=165908 Win=63712 Len=0 TSval=46736632 TSecr=595548909"
"200","25.942151","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"201","25.943390","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"202","25.944623","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"203","25.945858","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
